,locAbsJitter,std_delta_delta_log_energy,Ed2_1_coef,Ed2_2_coef,tqwt_energy_dec_28,tqwt_energy_dec_34,tqwt_TKEO_mean_dec_1,tqwt_TKEO_mean_dec_13,tqwt_TKEO_std_dec_1,tqwt_medianValue_dec_1,tqwt_medianValue_dec_2,tqwt_medianValue_dec_3,tqwt_medianValue_dec_4,tqwt_medianValue_dec_11,tqwt_meanValue_dec_1,tqwt_meanValue_dec_2,tqwt_meanValue_dec_3,tqwt_meanValue_dec_4,tqwt_meanValue_dec_5,tqwt_meanValue_dec_6,tqwt_meanValue_dec_7,tqwt_meanValue_dec_8,tqwt_meanValue_dec_9,tqwt_meanValue_dec_10,class
10,3.29e-06,0.022122,1.78e-08,1.06e-07,0.00011797,7.18e-07,4.02e-07,0.0086326,1.2e-05,-1.67e-06,-1.7e-06,-1.09e-19,-6.95e-07,1.29e-05,1.53e-20,1.63e-21,-4.76e-21,1.37e-20,-4.83e-21,2.03e-20,-2.03e-20,-2.18e-20,-6.6e-21,-2.13e-20,1.0
11,2.68e-06,0.012044,6.34e-09,5.79e-08,9.03e-05,7.31e-07,4.43e-07,0.014565,4.57e-06,-8.25e-07,2.67e-06,2.61e-19,-1.64e-06,-2.42e-05,-7.14e-21,-2.73e-21,-1.3e-21,-5.05e-21,6.12e-23,-3.82e-21,-7.8e-21,-2.96e-21,3.55e-20,6.24e-21,1.0
12,1.1e-05,0.026047,2.07e-06,1.64e-06,0.00024503,1.12e-05,5.45e-07,0.00010938,1.22e-06,8.1e-07,4.6e-08,6.8e-19,-3.07e-08,3.51e-06,1.05e-21,1.07e-21,-1.36e-21,-7.65e-22,7.04e-22,-1.06e-21,-1.32e-22,-6.5e-21,4.25e-21,-2.97e-21,1.0
13,2.16e-05,0.015685,1.18e-07,5.09e-07,0.00015287,1.13e-05,3.85e-07,0.00044118,2.06e-06,-1.17e-06,-1.14e-06,1.94e-19,-3.59e-06,-3.81e-06,5.87e-21,-4e-21,-8.5e-22,-1.34e-21,3.06e-23,2.64e-21,-4.58e-21,-3.81e-21,8.37e-21,-1.17e-20,1.0
14,3.03e-05,0.01949,8.65e-08,5.65e-07,0.00023829,1.37e-05,6.2e-07,0.00020875,1.13e-06,-2.84e-06,-1.15e-06,3.4e-19,-5.34e-08,-1.4e-05,-2.07e-22,-1.06e-21,2.02e-22,-2.87e-21,-1.22e-22,1.36e-21,-2.22e-21,7.14e-22,1.4e-21,-4.11e-21,1.0
15,5.45e-06,0.0077242,3.31e-09,2.63e-08,1.06e-05,2.7e-06,1.15e-06,0.0024361,8.17e-05,3.61e-06,4.69e-06,-5.34e-19,-3.86e-06,0.00025869,-2.12e-21,-3.13e-20,4.16e-21,-1.69e-20,0.0,-5.58e-21,2.47e-20,1.01e-20,8.73e-20,-2.19e-20,1.0
16,7.52e-06,0.013745,4.99e-09,4.54e-08,1.94e-05,1.49e-07,8.15e-07,0.0022398,3e-06,-6.12e-07,4.98e-06,-9.71e-20,1.48e-06,5.6e-05,-2.24e-21,3.01e-21,-1.93e-21,2.09e-21,9.18e-23,-4.04e-21,2.12e-20,-6.34e-22,-4.25e-21,-1.04e-19,1.0
17,6.28e-06,0.0083954,3.03e-09,3.29e-08,0.00036799,1.65e-06,9.57e-07,0.001053,9.8e-06,2.42e-06,-3.9e-06,-6.07e-19,-2.74e-06,-2.89e-05,-3.54e-21,-1.18e-20,4.5e-21,-3.98e-21,2.45e-22,5.87e-22,-8.99e-21,7.4e-21,1.12e-20,8.52e-21,1.0
18,1.21e-05,0.012863,3.14e-08,1.14e-07,0.00038177,9.32e-05,1.64e-06,0.0080818,7.87e-06,5.66e-07,-2.98e-07,1.19e-06,3.3e-06,-0.00015689,-3.22e-21,-6.37e-22,4.67e-22,-1.89e-21,-8.08e-21,-2.79e-21,2.11e-21,1.18e-20,-1.88e-20,-1.64e-20,1.0
19,8.19e-06,0.012184,4.66e-09,4.88e-08,0.00025669,0.0003827,1.61e-06,0.0054998,1.61e-05,1.43e-06,-1.11e-06,-6.59e-07,3.37e-06,0.00022545,2.01e-21,4.81e-21,4.93e-21,-7.85e-21,-1.99e-20,6.31e-21,1.52e-20,-1.23e-20,1.17e-20,-3.17e-20,1.0
20,5.58e-06,0.015793,3.62e-09,4.31e-08,4.23e-05,3.24e-05,6.56e-07,0.0032318,3.68e-06,-3.04e-08,1.23e-06,-2.65e-06,-4.38e-06,0.00021638,-1.42e-21,-2.76e-21,-2.06e-21,3.57e-22,-1.8e-21,-3.27e-21,-1.35e-20,-1.77e-20,-1.12e-20,-9.13e-21,1.0
21,4.72e-05,0.015924,0.00015409,0.00036763,0.00025731,1.4e-05,4.61e-05,0.021609,0.00015598,1.52e-05,-1.56e-06,1.15e-05,2.27e-06,7.38e-05,-1.84e-20,-3.27e-20,-1.1e-20,3.02e-20,2.35e-20,3.2e-20,4.97e-20,-3.04e-20,-1.05e-19,-1.21e-19,1.0
22,0.000122721,0.019663,9.76e-05,0.00010091,0.00067166,0.00021438,3.17e-05,0.013298,8.97e-05,6.53e-06,1.5e-05,5.09e-06,-1.89e-05,0.00014921,-1.03e-20,-1.74e-20,2.46e-21,3.57e-21,-1.69e-20,3.14e-20,5.14e-20,-4.57e-20,1.22e-19,-1.22e-21,1.0
23,2.23e-05,0.016631,3.28e-05,0.00012072,0.001055,0.00024043,2.43e-05,0.021378,0.00011362,-6.35e-06,1.13e-05,1.65e-05,2.19e-05,6.93e-05,-4.37e-21,9.2e-21,-1.61e-20,1.14e-20,-1.14e-20,-6.46e-21,-1.62e-20,4.65e-21,2.89e-20,1.97e-19,1.0
24,1.56e-05,0.013064,8.4e-09,1.01e-07,0.0072656,1.57e-05,1.81e-06,0.05568,5.4e-05,4.9e-07,1.61e-07,-4.49e-19,1.42e-06,-0.00017593,1.42e-20,8.5e-21,-9.18e-21,3.4e-20,2.45e-22,-4.11e-21,-1.13e-20,-6.64e-20,-8.12e-21,2.44e-21,1.0
25,1.01e-05,0.015688,2.21e-08,1.35e-07,7.02e-05,1.85e-07,2.94e-06,0.10209,0.00026932,1.07e-06,-3.54e-06,-1.21e-19,-3.18e-06,0.00036109,3.45e-20,1.19e-20,5.78e-21,-1.67e-20,-4.89e-22,-2.7e-20,-4.23e-20,-5.16e-20,3.96e-20,-1.38e-19,1.0
26,9.34e-06,0.011676,8.18e-09,5.24e-08,4.26e-05,5.24e-07,1.12e-06,0.082508,6.75e-05,8.86e-07,3.33e-07,2.32e-07,2.17e-06,5.32e-17,1.89e-21,-9.63e-21,8.33e-21,-4.69e-21,1.2e-20,5.58e-21,-3.45e-20,1.01e-19,-1.41e-19,9.68e-20,1.0
27,8.31e-06,0.018673,3.68e-09,4.03e-08,7.23e-05,1.06e-06,2.47e-06,0.00086766,5.51e-06,-6.61e-07,3.93e-06,-1.7e-19,-4.12e-06,4.86e-05,-9.59e-21,2.73e-21,-4.06e-21,-4.18e-21,-2.14e-22,-4.81e-21,-2.11e-21,7.4e-22,-1.01e-21,2.82e-20,1.0
28,7.81e-06,0.021809,1.11e-08,5.72e-08,5.21e-05,1.05e-06,3e-06,0.0017995,0.00019109,1.16e-06,-1.04e-07,1.21e-19,1.39e-06,-9.75e-06,8.97e-21,-1.77e-20,-1.26e-20,-2.06e-20,-2.45e-22,-6.84e-20,-5.92e-20,1.01e-20,-2.74e-20,-4.26e-20,1.0
29,8.16e-06,0.016757,7.18e-09,6.97e-08,8.22e-05,6.68e-07,2.87e-06,0.0015464,2.81e-05,2.54e-06,-3.05e-06,4.01e-19,-6.28e-07,-4.11e-06,-1.69e-20,3.61e-21,-2.46e-21,5e-21,-1.22e-22,7.34e-22,-2.96e-20,2.11e-22,1.32e-20,1.83e-21,1.0
30,3.22e-05,0.026327,1.04e-08,9.85e-08,0.073603,3.44e-06,1.42e-10,1.2e-06,1.4e-08,-5.48e-08,7.85e-09,-1.86e-21,-1.95e-10,4.04e-06,7.74e-23,1.88e-22,-7.04e-23,9.4e-23,0.0,-3.62e-22,1.43e-21,-1.65e-21,-2.16e-21,1.14e-22,1.0
31,1.55e-05,0.027465,0.00050246,0.00030585,0.0027916,6.68e-07,6.92e-11,9.19e-07,2.26e-09,8.74e-09,-9.96e-09,-4.98e-22,1.69e-08,9.29e-07,-2.01e-22,3.54e-23,1.39e-23,-4.78e-23,-1.91e-24,1.08e-22,-5.64e-22,-1.32e-21,-1.09e-21,2.28e-22,1.0
32,1.43e-05,0.022443,8.3e-05,0.00095846,0.0016915,5.73e-07,4.68e-09,1.65e-06,7.48e-07,1.17e-09,-1.31e-09,-1.42e-22,-2.49e-09,-1.13e-05,2.95e-22,-4.96e-22,7.54e-22,-1.21e-21,-4.59e-23,8.44e-21,-4.85e-22,2.27e-21,6.03e-21,-3.73e-21,1.0
33,4.4e-06,0.011149,2.84e-09,2.72e-08,3.54e-05,0.00021761,4.11e-06,0.0061674,9.61e-06,-1.11e-06,-1.1e-06,-3.47e-06,-6.93e-06,0.00012045,1.3e-21,2.48e-21,-4.46e-22,5.1e-23,7.77e-21,-1.47e-21,-1.15e-21,-4.02e-21,1.78e-20,-1.78e-20,0.0
34,1.33e-05,0.008479,1.42e-08,7.95e-08,3.79e-05,0.00016921,2.37e-06,0.0035267,8.59e-06,-5.93e-07,-5.8e-06,-4.25e-06,1.08e-06,1.44e-06,1.05e-20,-5.45e-21,5.49e-21,-1.7e-21,3.98e-21,7.76e-21,-1.54e-21,-2.75e-21,7.67e-21,-3.87e-20,0.0
35,8.76e-06,0.0073368,1.21e-08,5.59e-08,2.99e-05,4.54e-05,3.96e-06,0.0037624,9.17e-06,5.3e-06,-5.43e-07,-4.33e-06,1.59e-06,-1.36e-05,-8.85e-22,9.2e-22,-1.4e-21,2.98e-21,-3.92e-21,-1.43e-20,-3.48e-21,1.69e-20,-5.31e-20,7.07e-20,0.0
36,1.65e-05,0.012437,1.72e-08,1.25e-07,0.020142,0.00020435,1.78e-06,0.0014192,4.27e-06,9.83e-07,2.61e-06,2.79e-07,2.93e-06,-3.02e-05,6.27e-22,1.23e-21,1.09e-21,-1.56e-21,1.84e-22,4.86e-21,1.02e-20,8.47e-21,4.88e-21,-8.54e-21,1.0
37,1.46e-05,0.0099108,7.83e-09,1.6e-07,0.012532,0.00013122,2.48e-06,0.001915,7.68e-05,-4.75e-06,-3.51e-06,4.96e-06,3.23e-06,-0.00021885,-3.07e-21,-4.32e-21,-1.09e-20,-2.66e-20,1.88e-20,-1.26e-20,8.81e-21,-4.65e-20,5.63e-20,3.96e-20,1.0
38,1.3e-05,0.012447,8.87e-09,1.01e-07,0.0052306,3.49e-05,1.11e-06,0.005846,1.18e-05,3.34e-06,5.18e-07,-2.61e-06,1.44e-06,-8.49e-06,-8.85e-21,-1.24e-21,4.14e-21,1.27e-21,-4.89e-22,6.97e-21,3.14e-20,-3.43e-20,1.8e-20,9.13e-22,1.0
39,4.18e-06,0.0042831,6.11e-09,4.74e-08,7.88e-05,3.09e-05,1.25e-05,0.00081661,3.45e-05,-3.88e-06,-4.03e-06,-2.17e-06,1.46e-05,-1.22e-05,1.24e-20,-9.52e-21,1.95e-21,-1.87e-20,-2.37e-20,-1.28e-20,-5.29e-20,8e-20,-5.99e-20,-3.65e-21,1.0
40,2.64e-05,0.021505,0.00020754,0.00032865,0.0013807,5.63e-05,4.72e-05,0.0010681,0.00012859,4.2e-09,6.08e-06,4.12e-06,-6.34e-06,2.32e-05,2.83e-21,-2.13e-20,-8.75e-21,-4.59e-21,3.06e-22,-5.06e-20,-1.97e-20,-1.25e-20,2.77e-20,1.13e-20,1.0
41,8.04e-06,0.0067988,1.74e-07,2.62e-07,4.5e-05,1.3e-05,1.67e-05,0.00073347,5.32e-05,3.03e-06,1.41e-06,2.15e-07,-1.48e-05,7.29e-05,-1.18e-22,4.6e-22,3.38e-21,6.47e-21,-5.93e-21,7.01e-21,7.31e-21,2.16e-20,2.3e-20,1.58e-20,1.0
42,4.61e-06,0.0084409,3.55e-08,1.61e-07,0.059937,1.91e-06,3.85e-06,0.00054001,9.87e-06,3.2e-07,-8.99e-07,-1.65e-18,4.6e-06,5.79e-05,-3.25e-21,-9.38e-21,-4.29e-21,-1.4e-21,1.25e-21,-7.05e-21,4.14e-21,1.01e-20,3.64e-20,9.74e-21,0.0
43,6.97e-06,0.019266,6.07e-08,2.92e-07,0.029875,2.73e-06,1.09e-06,0.0012688,2.83e-06,2.11e-06,3.8e-07,-1.21e-19,1.82e-06,-7.54e-06,8.56e-22,1.79e-21,2.61e-21,-7.14e-22,-1.53e-22,1.26e-20,-4.49e-21,1.6e-20,2.12e-20,-2.44e-20,0.0
44,6.75e-06,0.01374,1.82e-08,8.3e-08,0.053416,5.24e-06,6.86e-07,0.00038071,1.62e-05,2.3e-06,1.92e-07,-1.58e-19,1.05e-06,-8.8e-06,4.72e-22,9.91e-22,1.91e-21,-1.12e-20,-6.12e-23,-6.61e-21,-1.41e-21,-2.01e-20,-1.17e-20,-3.5e-20,0.0
45,1.64e-05,0.02654,1.28e-08,1.15e-07,0.010021,3.7e-06,1.76e-10,1.59e-06,1.97e-08,-7.37e-08,-6.14e-09,-1.99e-21,-3.58e-10,7.97e-07,2.8e-22,6.39e-22,5.18e-23,-1.53e-22,-7.65e-24,-3.21e-22,2.15e-22,-3.04e-22,-7.14e-23,1.51e-21,1.0
46,1.8e-05,0.024689,1.78e-08,2.05e-06,0.011391,5.56e-06,6.47e-10,5.44e-07,9.65e-08,1.3e-08,1.89e-09,-5.69e-22,-1.62e-08,-1.8e-07,-5.09e-22,2.48e-22,4.78e-23,-9.88e-23,0.0,5.14e-22,1.06e-21,1.57e-21,-3.41e-21,2.32e-21,1.0
47,2.94e-05,0.033678,2.52e-08,2.05e-07,0.058072,8.87e-05,3.04e-10,3.98e-07,4.03e-08,-1.24e-08,-3.11e-09,6.64e-22,1.56e-08,-6.4e-07,9.15e-22,-3.89e-22,-3.45e-23,3e-22,-1.53e-23,-3.72e-22,3.19e-22,6.08e-22,1.25e-21,1.83e-21,1.0
48,6.48e-06,0.017889,1.02e-07,1.96e-07,0.00013603,1.18e-05,9.43e-06,0.0051977,2.41e-05,-8.05e-06,1.95e-06,1.16e-07,1.34e-05,-3.57e-05,-4.72e-22,2.46e-21,1.49e-21,-4.03e-21,-4.02e-21,4.4e-21,-5.29e-20,2.27e-21,8.63e-21,3.16e-21,1.0
49,1.8e-05,0.019113,4.77e-05,0.00017029,0.00010726,2.61e-05,6.72e-06,0.0058333,1.64e-05,-1.54e-06,2.62e-06,1.44e-06,-5.3e-07,-9.64e-05,2.07e-22,-3.45e-21,-1.34e-21,-5.1e-22,1.96e-21,-1.51e-20,2.57e-20,6.45e-21,-4.57e-21,4.61e-20,1.0
50,1.51e-05,0.015363,0.00099501,0.00092021,0.00043811,4.81e-05,7.79e-06,0.0048543,2.03e-05,3.56e-06,3.96e-06,-6.43e-06,-7.25e-07,-1.16e-05,4.22e-21,4.43e-22,5.31e-22,-1.58e-21,-3.12e-21,3.24e-20,2.98e-20,-2.7e-21,1.76e-20,2.3e-20,1.0
51,5.56e-06,0.025836,2.15e-08,2e-07,1.2e-05,1.29e-06,1.89e-05,0.029709,4.96e-05,-1.29e-07,-1.82e-06,-1.63e-07,4.05e-06,0.00022068,5.69e-21,-1.22e-20,1.36e-20,-1.76e-20,-3.3e-21,-3.82e-21,4.4e-21,-4.02e-21,-6.09e-21,1.19e-20,1.0
52,5.58e-06,0.031465,1.08e-08,9.23e-08,1.72e-05,1.09e-06,1.98e-05,0.045847,9.2e-05,-5.72e-07,-1.5e-06,-2.33e-06,-4.18e-06,0.0003151,-4.96e-21,2.12e-22,1.41e-20,-1.29e-20,8.56e-21,-2.7e-20,-9.51e-21,-3.97e-20,1.73e-20,6.09e-21,1.0
53,5.78e-06,0.023092,7.82e-09,7.9e-08,2.07e-05,1.84e-06,1.74e-05,0.033953,4.11e-05,-4.6e-07,-3.91e-07,2.07e-06,-4.09e-06,3.87e-05,2.24e-21,-3.54e-23,-9.46e-21,1.79e-20,6.35e-21,1.2e-20,8.59e-21,2.25e-20,1.26e-20,1.61e-20,1.0
54,2.18e-05,0.015683,5.02e-08,5.04e-07,0.00064064,4.26e-05,1.06e-07,0.00012105,4.78e-07,-1.98e-07,-6.34e-07,-1.2e-07,1.04e-06,1.3e-05,-1.73e-21,1.77e-22,-3.7e-21,1.47e-22,-3.25e-23,-1.01e-21,-2.2e-22,-4.2e-21,1.33e-21,-5.9e-21,1.0
55,2.7e-05,0.018663,2.99e-05,8.29e-05,0.00068463,3.16e-05,2.94e-07,0.00017351,1.29e-06,8.89e-08,-3.74e-07,8.83e-07,4.17e-07,-2.99e-06,1.56e-21,1.45e-21,2.24e-21,-3.98e-21,-1.9e-21,-4.37e-21,1.67e-21,-7.93e-22,2.47e-21,-1.05e-20,1.0
56,1.15e-05,0.017367,3.98e-08,2.26e-07,0.00018767,1.99e-05,1.85e-07,0.00043873,6.3e-07,2.99e-07,-2.6e-07,1.26e-07,-1.09e-06,-1.39e-05,-8.85e-23,8.88e-22,3.03e-22,1.91e-22,3.49e-21,-6.38e-22,-2.82e-21,-4.22e-21,4.54e-21,-7.61e-23,1.0
57,5.46e-06,0.013641,5.18e-09,3.39e-08,0.00011522,4.37e-06,2.15e-06,0.00080454,7.84e-06,-5.99e-07,3.17e-07,1.57e-06,-1.81e-06,2.27e-05,-2.33e-21,1.38e-21,8.07e-21,-2.29e-21,2.08e-21,-2.2e-22,-7.58e-21,-2.17e-21,2.32e-20,-1.92e-20,1.0
58,7.09e-06,0.017482,1.14e-08,1.04e-07,0.00019407,8.74e-06,1.56e-05,0.0011132,5.08e-05,4.63e-08,-1.95e-07,-1.46e-06,7.85e-07,-5.35e-05,2.39e-21,6e-21,9.98e-22,3.57e-21,-2.4e-21,6.22e-21,-3.41e-21,-4.11e-20,3.1e-20,2.53e-20,1.0
59,8.55e-06,0.010241,5.31e-09,7.21e-08,2.83e-05,2.59e-06,2.28e-06,0.002867,1.19e-05,3.31e-07,-1.37e-06,-6.42e-07,-1.05e-06,0.00013127,-5.43e-21,5.24e-21,2.53e-20,5.53e-21,-2.81e-21,1.13e-20,-5.99e-21,2e-20,2.03e-21,-3.5e-20,1.0
60,8.17e-06,0.01036,5.96e-09,6.34e-08,0.0077949,1.55e-05,5.45e-07,8.42e-05,1.4e-05,-7.37e-07,-1.51e-06,-1.82e-19,3.13e-07,-2.29e-05,1.89e-21,-8.36e-21,1.4e-21,1.02e-21,-1.04e-21,-2.64e-21,-2.98e-20,1.61e-20,-1.04e-20,3.26e-20,1.0
61,8.63e-06,0.0090134,8.56e-09,9.68e-08,0.014223,9.67e-06,7.88e-07,7.17e-05,3.69e-06,4.39e-07,-1.1e-06,-2.43e-20,1.38e-06,-4.52e-06,-5.9e-23,2.9e-21,-1.36e-21,8.16e-22,5.35e-21,-7.49e-21,-1.87e-20,-1.33e-20,-1.27e-20,1.77e-20,1.0
62,7.57e-06,0.016364,7.1e-09,6.03e-08,0.0065757,2.2e-06,2.9e-07,5.94e-05,1.12e-06,1.65e-06,-2.82e-07,-1.7e-19,-5.99e-07,-1.9e-05,-2.27e-21,-4.07e-22,4.57e-22,2.42e-21,4.74e-22,7.89e-22,-6.3e-21,1.27e-21,7.55e-21,1.8e-20,1.0
63,1.03e-05,0.01252,1.47e-08,1.13e-07,0.00062123,8.75e-06,1.13e-06,1.27e-05,1.05e-05,-6.39e-07,-1.1e-07,-1.94e-07,-3.57e-07,1.17e-05,-3.63e-21,-1.27e-21,-2.55e-22,3.29e-21,-2.84e-21,5.65e-21,-2.29e-21,-5.5e-21,-5.45e-21,-4.87e-21,1.0
64,6.67e-06,0.009507,3.13e-09,7.39e-08,0.0010686,1.21e-05,1.36e-07,1.02e-05,3.29e-06,1.2e-07,2.92e-07,3.21e-07,1.07e-06,2.41e-06,-8.56e-22,6.55e-22,-7.65e-22,2.55e-23,-3.95e-21,1.17e-20,-4.05e-21,-7.19e-21,1.83e-20,-3.2e-21,1.0
65,1.19e-05,0.013299,2.38e-08,2.42e-07,0.00022663,1.7e-05,5.67e-07,1.14e-05,1.99e-06,2.48e-07,-1.09e-06,8.78e-07,1.65e-07,-1.94e-06,6.34e-22,3.19e-22,9.98e-22,1.66e-21,2.22e-21,1.47e-22,-3.83e-21,-2.17e-21,-5.33e-21,-1.66e-20,1.0
66,3.37e-06,0.01155,2.14e-08,4.44e-08,6.91e-06,3.47e-07,2.77e-07,0.030539,1.27e-05,3.6e-07,1.21e-06,-4.73e-19,3.91e-06,-0.00017638,-1.65e-21,-2.9e-21,-2.38e-21,9.69e-22,3.06e-22,1.51e-20,-4.53e-20,7.21e-20,-1.37e-20,-5.11e-20,1.0
67,2.19e-06,0.0057733,1.32e-08,6.09e-08,1.08e-05,2.34e-06,7.55e-07,0.20122,3.53e-06,-1.5e-06,-7.73e-07,4.13e-19,-1.92e-06,0.00020158,-3.92e-21,-3.13e-21,2.71e-21,-2.86e-21,-3.95e-21,2.61e-21,-3.44e-20,4.31e-21,7.73e-20,-4.55e-21,1.0
68,2.7e-06,0.010275,4.05e-09,1.94e-08,1.41e-06,2.81e-07,2.23e-06,0.4634,8.61e-06,1.62e-06,5.59e-07,-1.77e-18,1.03e-05,0.00062798,-4.37e-21,1.2e-21,-9.77e-22,-1.73e-21,9.18e-22,6.61e-21,-3.17e-21,7.19e-21,-1.88e-20,-5.48e-21,1.0
69,1.99e-05,0.010587,1.25e-08,1.93e-07,0.082343,5.83e-05,2.98e-06,0.0010696,2.52e-05,-3.96e-06,-5.35e-06,-2.62e-06,-4.53e-06,9.28e-05,-7.14e-21,5.13e-21,2.42e-21,5.2e-21,1.05e-20,1.79e-20,-1.34e-20,1.65e-20,-2.38e-20,-3.96e-20,1.0
70,1.82e-05,0.0091125,8.26e-09,5.95e-08,0.12273,5.91e-05,1.01e-05,0.0012626,0.00017824,6.4e-06,-7.59e-06,4.08e-06,1.67e-06,-9.66e-05,1.43e-20,-1.25e-20,-3.57e-21,-1.69e-20,2.74e-20,4.64e-20,-4.86e-20,9.98e-20,2.54e-20,-2.92e-20,1.0
71,2.73e-05,0.032792,3.49e-05,0.00013165,0.17084,0.00011694,4.58e-06,0.0015868,1.21e-05,2.09e-06,2.57e-06,-1.18e-05,-1.63e-05,-3.54e-05,2.95e-22,-3.79e-21,7.52e-21,-5.96e-21,7.1e-21,1.42e-20,-6.17e-21,2.64e-20,7.1e-21,2.01e-20,1.0
72,2.93e-05,0.0094634,4.07e-05,5.37e-05,0.018041,0.0014173,1.62e-06,0.030478,6.21e-05,-5.87e-07,-4.04e-06,1.04e-06,-1.56e-06,0.00012506,1.43e-20,4.18e-21,5.95e-21,1.73e-20,-8.56e-22,6.46e-21,4.76e-20,1.27e-20,6.24e-20,3.11e-20,0.0
73,2.23e-05,0.010955,2.84e-08,1.46e-07,0.00085141,0.00019919,1.43e-06,0.037902,3.79e-06,-1.02e-06,2.3e-06,2.87e-08,-3.29e-06,-0.00023195,2.76e-21,3.63e-21,-2.85e-21,3.34e-21,2.36e-21,1.51e-20,-3.58e-20,3.62e-20,-1.24e-20,-1.36e-19,0.0
74,2.25e-05,0.0089357,6.33e-05,0.00012188,0.00064562,0.00055634,5.34e-07,0.037234,1.21e-06,1.08e-06,1.4e-06,-1.26e-06,-3.58e-06,0.000116,-8.85e-23,-9.69e-22,-2.39e-23,-3.04e-21,3.21e-22,1.13e-20,2.52e-20,-1.49e-20,7.12e-20,-9.13e-21,0.0
